Posto;Id. Vaga;Qtd. Vagas Disponíveis;Qtd. Encaminhamentos Disponíveis;Ocupação;Nome Fantasia do Empregador;UF Local de Trabalho;Município Local de Trabalho;Bairro Local de Trabalho;Forma de Contratação;Salário;Frequência de Pagamento;Incentivos;Horário de Trabalho;Horário não Convencional?;Escolaridade;Tempo de Experiência;Aceita Deficientes;Tipo de Deficiência;Sexo;Idade (Inicial);Idade (Final)
Sine Arcoverde/Pe                                                                                                                                     ;7020160;1;9;Inválido                                                                                                                                              ;Correia Alves                                                                                                                                         ;Pernambuco                                                                                                                                            ;PE-Arcoverde                                                                                                                                          ;SAO MIGUEL                                                                                                                                            ;Estágio                                                                                                                                               ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Superior Incompleto                                                                                                                                   ;0;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Santa Cruz do Capibaribe/Pe                                                                                                                      ;7019827;1;3;Operador de Caixa                                                                                                                                     ;ESPACO DO CALCADO                                                                                                                                     ;Pernambuco                                                                                                                                            ;PE-Santa Cruz do Capibaribe                                                                                                                           ;BAIRRO NOVO                                                                                                                                           ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Santa Cruz do Capibaribe/Pe                                                                                                                      ;6998035;2;1;Agente de Viagem                                                                                                                                      ;BRAZTUR                                                                                                                                               ;Pernambuco                                                                                                                                            ;PE-Santa Cruz do Capibaribe                                                                                                                           ;SAO CRISTOVAO                                                                                                                                         ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;0;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Camaragibe/Pe                                                                                                                                    ;7017507;1;5;Auxiliar de Escritorio Em Geral                                                                                                                       ;QUALIFY                                                                                                                                               ;Pernambuco                                                                                                                                            ;PE-Camaragibe                                                                                                                                         ;BAIRRO NOVO DO CARMELO                                                                                                                                ;Estágio                                                                                                                                               ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Superior Incompleto                                                                                                                                   ;6;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
Sine Petrolina/Pe                                                                                                                                     ;7013029;1;3;Auxiliar de Escritorio Em Geral                                                                                                                       ;LEENNE CONSTRUCOES                                                                                                                                    ;Pernambuco                                                                                                                                            ;PE-Petrolina                                                                                                                                          ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;"1.320,00";Mês                                                                                                                                                   ;"Condução, Ticket Alimentação                                                                                                                          ";Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Superior Incompleto                                                                                                                                   ;6;Exclusivamente deficiente                                                                                                                             ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
Sine Recife/Pe                                                                                                                                        ;7014840;2;3;Atendente de Farmacia - Balconista                                                                                                                    ;                                                                                                                                                      ;Pernambuco                                                                                                                                            ;PE-Recife                                                                                                                                             ;BOA VISTA                                                                                                                                             ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;"Condução, Outros                                                                                                                                      ";Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Exclusivamente deficiente                                                                                                                             ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
Sine Recife/Pe                                                                                                                                        ;7014017;2;4;Barman                                                                                                                                                ;CALDINHO DO NENEM                                                                                                                                     ;Pernambuco                                                                                                                                            ;PE-Recife                                                                                                                                             ;BOA VISTA                                                                                                                                             ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;"Condução, Outros                                                                                                                                      ";Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Santa Cruz do Capibaribe/Pe                                                                                                                      ;7014546;1;2;Costureiro A  Maquina  Na Confeccao Em Serie                                                                                                          ;                                                                                                                                                      ;Pernambuco                                                                                                                                            ;PE-Santa Cruz do Capibaribe                                                                                                                           ;MALAQUIAS CARDOSO                                                                                                                                     ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Recife/Pe                                                                                                                                        ;7010795;3;5;Lavador de Veiculos                                                                                                                                   ;LAVA RAPIDO ESPUMA DE PRATA                                                                                                                           ;Pernambuco                                                                                                                                            ;PE-Recife                                                                                                                                             ;BOA VISTA                                                                                                                                             ;Permanente                                                                                                                                            ;"1.400,00";Mês                                                                                                                                                   ;"Condução, Outros                                                                                                                                      ";Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Incompleto                                                                                                                                ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Serra Talhada/Pe                                                                                                                                 ;7009713;1;3;Motorista de Furgao Ou Veiculo Similar                                                                                                                ;JD LOG LOGÍSTICA E TRANSPORTE LTDA                                                                                                                    ;Pernambuco                                                                                                                                            ;PE-Serra Talhada                                                                                                                                      ;BOM JESUS                                                                                                                                             ;Permanente                                                                                                                                            ;"1.802,64";Mês                                                                                                                                                   ;"Ticket Alimentação, Assistência Odontológica, Assistência Médica                                                                                      ";Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;3;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Paulista/Pe                                                                                                                                      ;7010135;1;2;Analista de Pcp (Programacao e Controle da Pr                                                                                                         ;ROMAGUERA PESCADOS E FRUTOS DO MAR                                                                                                                    ;Pernambuco                                                                                                                                            ;PE-Paulista                                                                                                                                           ;JANGA                                                                                                                                                 ;Permanente                                                                                                                                            ;"2.300,00";Mês                                                                                                                                                   ;Ticket Alimentação                                                                                                                                    ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
Sine Recife/Pe                                                                                                                                        ;7017549;1;4;Eletrotecnico                                                                                                                                         ;CONSENG AUTOMACAO                                                                                                                                     ;Pernambuco                                                                                                                                            ;PE-Recife                                                                                                                                             ;IMBIRIBEIRA                                                                                                                                           ;Permanente                                                                                                                                            ;"1.980,60";Mês                                                                                                                                                   ;"Condução, Ticket Alimentação, Outros                                                                                                                  ";Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Petrolina/Pe                                                                                                                                     ;7013082;1;3;Recepcionista Em Geral                                                                                                                                ;LEENNE CONSTRUCOES                                                                                                                                    ;Pernambuco                                                                                                                                            ;PE-Petrolina                                                                                                                                          ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;"1.320,00";Mês                                                                                                                                                   ;"Condução, Ticket Alimentação                                                                                                                          ";Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Exclusivamente deficiente                                                                                                                             ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
Sine Recife/Pe                                                                                                                                        ;6998539;1;1;Lavador de Veiculos                                                                                                                                   ;ECOCAR                                                                                                                                                ;Pernambuco                                                                                                                                            ;PE-Recife                                                                                                                                             ;CORDEIRO                                                                                                                                              ;Permanente                                                                                                                                            ;"1.600,00";Mês                                                                                                                                                   ;"Condução, Outros                                                                                                                                      ";Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Completo                                                                                                                                  ;6;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
Sine Recife/Pe                                                                                                                                        ;7014026;1;2;Vendedor de Comercio Varejista                                                                                                                        ;                                                                                                                                                      ;Pernambuco                                                                                                                                            ;PE-Recife                                                                                                                                             ;BOA VISTA                                                                                                                                             ;Permanente                                                                                                                                            ;"1.590,00";Mês                                                                                                                                                   ;Outros                                                                                                                                                ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
Sine Recife/Pe                                                                                                                                        ;7014600;2;4;Operador de Caixa                                                                                                                                     ;                                                                                                                                                      ;Pernambuco                                                                                                                                            ;PE-Recife                                                                                                                                             ;BOA VISTA                                                                                                                                             ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;"Condução, Outros                                                                                                                                      ";Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Exclusivamente deficiente                                                                                                                             ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
Sine Santa Cruz do Capibaribe/Pe                                                                                                                      ;7014643;1;3;Cortador de Roupas                                                                                                                                    ;CORTE EXPRESS                                                                                                                                         ;Pernambuco                                                                                                                                            ;PE-Santa Cruz do Capibaribe                                                                                                                           ;DONA DOM                                                                                                                                              ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Fundamental Incompleto                                                                                                                                ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Cabo de Santo Agostinho/Pe                                                                                                                       ;7014604;1;5;Auxiliar de Enfermagem                                                                                                                                ;MEDNET PAULINIA                                                                                                                                       ;Pernambuco                                                                                                                                            ;PE-Cabo de Santo Agostinho                                                                                                                            ;CENTRO                                                                                                                                                ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;"Condução, Ticket Alimentação, Outros                                                                                                                  ";Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Bezerros/Pe                                                                                                                                      ;7009691;1;9;Servente de Obras                                                                                                                                     ;VIPETRO ltda                                                                                                                                          ;Pernambuco                                                                                                                                            ;PE-Gratava                                                                                                                                            ;GRAVATA CENTRO                                                                                                                                        ;Permanente                                                                                                                                            ;0;Mês                                                                                                                                                   ;                                                                                                                                                      ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Incompleto                                                                                                                               ;6;Exclusivamente deficiente                                                                                                                             ;Múltipla                                                                                                                                              ;Indiferente                                                                                                                                           ;0;0
Sine Paudalho/Pe                                                                                                                                      ;7010908;4;9;Assistente de Vendas                                                                                                                                  ;PASSAPORTE IDIOMAS                                                                                                                                    ;Pernambuco                                                                                                                                            ;PE-Carpina                                                                                                                                            ;SAO JOSE                                                                                                                                              ;Permanente                                                                                                                                            ;"1.320,00";Mês                                                                                                                                                   ;Outros                                                                                                                                                ;Comercial                                                                                                                                             ;Não                                                                                                                                                   ;Ensino Médio Completo                                                                                                                                 ;6;Aceita deficiente                                                                                                                                     ;Física                                                                                                                                                ;Indiferente                                                                                                                                           ;0;0
